rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.7427,0.4853,1.0,1.0,4,4,False,True
2,frame_0031.jpg,12.4,0.7248,0.4495,1.0,1.0,7,4,False,True
3,frame_0009.jpg,3.6,0.7,0.0,0.0,1.0,0,0,True,True
4,frame_0376.jpg,150.4,0.683,0.7021,1.0,0.16,6,4,False,True
5,frame_0030.jpg,12.0,0.6823,0.3645,1.0,1.0,5,4,False,False
6,frame_0286.jpg,114.4,0.6577,0.4594,1.0,0.64,6,4,False,True
7,frame_0073.jpg,29.2,0.615,0.3801,0.75,1.0,4,3,False,False
8,frame_0072.jpg,28.8,0.608,0.366,0.75,1.0,6,3,False,False
9,frame_0125.jpg,50.0,0.5986,0.4591,0.75,0.72,3,3,False,True
10,frame_0129.jpg,51.6,0.579,0.5059,0.5,0.88,3,2,False,False
11,frame_0132.jpg,52.8,0.5674,0.4347,0.5,1.0,2,2,False,True
12,frame_0127.jpg,50.8,0.5658,0.3617,0.75,0.8,7,3,False,False
13,frame_0210.jpg,84.0,0.5598,0.5477,0.5,0.68,3,2,False,True
14,frame_0289.jpg,115.6,0.5567,0.3594,0.75,0.76,5,3,False,False
15,frame_0079.jpg,31.6,0.5532,0.3364,0.75,0.8,5,3,False,True
16,frame_0224.jpg,89.6,0.543,0.5879,0.75,0.12,4,3,False,True
17,frame_0321.jpg,128.4,0.5411,0.4022,1.0,0.2,5,4,False,True
18,frame_0071.jpg,28.4,0.5361,0.3722,0.5,1.0,7,2,False,False
19,frame_0332.jpg,132.8,0.5303,0.4447,1.0,0.04,5,4,False,True
20,frame_0287.jpg,114.8,0.5164,0.4609,0.5,0.68,4,2,False,False
21,frame_0021.jpg,8.4,0.5156,0.3313,0.5,1.0,3,2,False,False
22,frame_0298.jpg,119.2,0.5104,0.3468,0.75,0.56,4,3,False,False
23,frame_0290.jpg,116.0,0.5093,0.3987,0.5,0.8,3,2,False,False
24,frame_0075.jpg,30.0,0.5087,0.3333,0.5,0.96,4,2,False,False
25,frame_0023.jpg,9.2,0.5063,0.3125,0.5,1.0,4,2,False,False
26,frame_0284.jpg,113.6,0.5052,0.3364,0.75,0.56,6,3,False,False
27,frame_0219.jpg,87.6,0.5045,0.4309,0.75,0.32,4,3,False,False
28,frame_0330.jpg,132.0,0.4966,0.3772,1.0,0.04,5,4,False,False
29,frame_0008.jpg,3.2,0.4962,0.4424,0.25,1.0,1,1,False,False
30,frame_0019.jpg,7.6,0.4948,0.4396,0.25,1.0,1,1,False,False
31,frame_0033.jpg,13.2,0.4922,0.2844,0.5,1.0,5,2,False,False
32,frame_0067.jpg,26.8,0.4917,0.2834,0.5,1.0,7,2,False,False
33,frame_0069.jpg,27.6,0.4901,0.2801,0.5,1.0,5,2,False,False
34,frame_0377.jpg,150.8,0.4894,0.4808,0.75,0.12,9,3,False,False
35,frame_0126.jpg,50.4,0.488,0.3721,0.5,0.76,6,2,False,False
36,frame_0004.jpg,1.6,0.4864,0.2729,0.5,1.0,3,2,False,False
37,frame_0288.jpg,115.2,0.4841,0.3802,0.5,0.72,5,2,False,False
